form	lemma	POS	morph
པོ་	པོ་	PART
མེད་	མེད་	VERB
དོ་	གོ་	PART
"།

 །"		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཡང་	ཀྱང་	PART
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སུ་	སུ་	ADP
གྲུབ་	གྲུབ་	VERB
ཀྱང་	ཀྱང་	PART
།		PUNCT
མེ་	མེ་	NOUN
དང་	དང་	NO_POS
དུ་བ་	དུ་བ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ཅན་	ཅན་	PART
གཞན་	གཞན་	DET
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
སྲིད་པ་	སྲིད་པ་	VERB
ནི་	ནི་	NO_POS
དེ་	དེ་	DET
མ་	མ་	PART
ཐག་	ཐག་	VERB
ཏུ་	ལ་	PART
འགོག་པ་	འགོག་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ལན་ཅིག་	ལན་ཅིག་	NO_POS
མ་	མ་	PART
རིངས་	རིངས་	VERB
ཤིག་	ཅིག་	PART
དང་	དང་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
དེ་	དེ་	DET
གཉིས་	གཉིས་	NUM
རེ་ཞིག་	རེ་ཞིག་	NO_POS
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སུ་	སུ་	ADP
ཇེ་	ཇེ་	OTHER
བསྒྲུབས་	བསྒྲུབས་	VERB
ཏེ་	སྟེ་	PART
གདོད་	གདོད་	NO_POS
དགག་པ་	དགག་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
ཁྱོད་	ཁྱོད་	PRON
རྒྱལ་	རྒྱལ་	VERB
ན་	ནས་	PART
ཚད་མ་	ཚད་མ་	NOUN
འག་	འགའ་	DET
ས་	གིས་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
མེ་	མེ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དང་	དང་	NO_POS
དུ་བ་	དུ་བ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
གཉིས་	གཉིས་	NUM
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སུ་	སུ་	ADP
གྲུབ་	གྲུབ་	VERB
ཀྱང་	ཀྱང་	PART
གཞན་	གཞན་	DET
དུ་	ལ་	PART
དེ་	དེ་	DET
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ཅན་	ཅན་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
ར་	ལ་	PART
ཡང་སྲིད་	ཡང་སྲིད་	OTHER
ན་	ན་	ADP
ནི་	ནི་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཚེ་ཚད་	ཚེ་ཚད་	NOUN
མ་	མ་	PART
ལྔ་	ལྔ་	NUM
འམ་	གམ་	PART
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
གཉིས་	གཉིས་	NUM
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སུ་	སུ་	ADP
གྲུབ་	གྲུབ་	VERB
ཀྱང་	ཀྱང་	PART
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ཀྱི་	གི་	PART
མི་	མི་	PART
འཁྲུལ་བ་	འཁྲུལ་བ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
གཏན་ཚིགས་	གཏན་ཚིགས་	NOUN
འཇིག་པ་	འཇིག་པ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
འོ་	གོ་	PART
། །		PUNCT
དེས་ན་	དེས་ན་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
དང་	དང་	NO_POS
ལྡོག་པ་	ལྡོག་པ་	VERB
ཕན་ཚུན་	ཕན་ཚུན་	ADV
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
ནི་	ནི་	NO_POS
འདོད་རྒྱལ་	འདོད་རྒྱལ་	NO_POS
བ་མ་	བ་མ་	NO_POS
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ངེས་པ་	ངེས་པ་	VERB
ཉིད་	ཉིད་	DET
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ཏེ་	སྟེ་	PART
།		PUNCT
ངེས་པ་	ངེས་པ་	VERB
ཉིད་	ཉིད་	DET
